Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,IATA,Latitude,Longitude
FYU,FYU,4,12,5,0.264188,0.27608,1105.624175,7.5e-05,7.5e-05,3,FYU,66.57150268554689,-145.25
DDC,DDC,2,10,6,0.338346,0.362222,0.0,0.004003,0.004003,2,DDC,37.76340103149414,-99.9655990600586
LBL,LBL,2,10,6,0.338346,0.362222,0.0,0.004003,0.004003,2,LBL,37.04420089999999,-100.9599991
HPN,HPN,16,46,6,0.356671,0.396327,842.127505,0.034509,0.034509,0,HPN,41.06700134277344,-73.70760345458984
ATW,ATW,7,18,6,0.364865,0.399877,41.956001,0.020459,0.020459,6,ATW,44.2580986023,-88.51909637450001
MLU,MLU,3,12,6,0.327869,0.366698,0.0,0.011619,0.011619,6,MLU,32.51089859008789,-92.0376968383789
MTM,MTM,1,6,6,0.248504,0.256728,0.0,5.9e-05,5.9e-05,11,MTM,55.131001,-131.578003
MLI,MLI,10,30,6,0.379747,0.419167,102.247697,0.02864,0.02864,6,MLI,41.44850158691406,-90.50749969482422
MLB,MLB,2,10,6,0.320665,0.354969,0.0,0.007916,0.007916,0,MLB,28.10280036926269,-80.64530181884766
MGM,MGM,3,14,6,0.328267,0.367315,0.0,0.011833,0.011833,0,MGM,32.30059814,-86.39399719
LGB,LGB,12,36,5,0.362903,0.395679,4.135036,0.031068,0.031068,2,LGB,33.81769943,-118.1520004
BOI,BOI,16,41,5,0.378947,0.417438,46.86429,0.039448,0.039448,2,BOI,43.5644,-116.223
UNK,UNK,5,18,5,0.31106,0.326975,1053.0,0.000686,0.000686,3,UNK,63.88840103,-160.798996
BUR,BUR,12,36,5,0.36193,0.394599,116.149422,0.028091,0.028091,2,BUR,34.200698852539055,-118.35900115966795
SOW,SOW,2,12,6,0.322196,0.339074,1.707875,0.003215,0.003215,2,SOW,34.265499115,-110.005996704
TVC,TVC,3,10,6,0.346154,0.373488,0.0,0.011611,0.011611,0,TVC,44.74140167236328,-85.58219909667969
HON,HON,1,6,7,0.253283,0.263721,0.0,8.6e-05,8.6e-05,2,HON,44.38520050048828,-98.22850036621094
PIR,PIR,3,16,6,0.338983,0.363765,557.318547,0.004,0.004,2,PIR,44.38270187,-100.2860031
AMA,AMA,6,19,6,0.356907,0.389383,3.20142,0.018657,0.018657,6,AMA,35.219398,-101.706001
ENA,ENA,1,6,5,0.308043,0.319259,0.0,0.000669,0.000669,3,ENA,60.57310104370117,-151.2449951171875
ANI,ANI,8,24,5,0.311239,0.328981,3198.5,0.000686,0.000686,3,ANI,61.58160018920898,-159.54299926757812
