Id,Label,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class
WSN,WSN,2,2,6,0.23705,0.245154,0,0.000015,0.000015,3
PTH,PTH,1,1,6,0.236946,0.244228,0,0.000015,0.000015,3
KPV,KPV,1,1,6,0.236946,0.244228,0,0.000015,0.000015,3
IGG,IGG,1,1,6,0.236946,0.244228,0,0.000015,0.000015,3
PIP,PIP,1,1,6,0.236946,0.244228,0,0.000015,0.000015,3
FRD,FRD,2,2,2,0.75,0.833333,0,0,0,5
ESD,ESD,2,2,2,0.75,0.833333,0,0,0,5
AGN,AGN,1,1,6,0.260492,0.268302,0,0.000073,0.000073,11
ELV,ELV,1,1,6,0.260492,0.268302,0,0.000073,0.000073,11
TNC,TNC,2,2,6,0.23968,0.250093,0,0.000015,0.000015,3
HUS,HUS,3,3,5,0.263801,0.274691,134.9,0.000075,0.000075,3
